Name,ISIN,companyID,OrganizationID,Year,description,desc_simpl_en,desc_simpl_no,account_number,account_type,Value,CorporateAccountValue,CompanyAccountValue,source,Corporation,ID
NEL,NO0010081235,7795,979938799,2004,Sum varige driftsmidler,Fixed assets,Varige driftsmidler,332,BALANSEREGNSKAP,2090000.0,,2090000.0,Brønnøysund,0,141022
NEL,NO0010081235,7795,979938799,2005,Driftsresultat,Operating profit(EBIT),Driftsresultat,47,RESULTATREGNSKAP,-24551000.0,,-24551000.0,Brønnøysund,0,141023
NEL,NO0010081235,7795,979938799,2005,Sum driftskostnader,Total operating expenses,Sum driftskostnader,46,RESULTATREGNSKAP,24655000.0,,24655000.0,Brønnøysund,0,141024
NEL,NO0010081235,7795,979938799,2005,Sum fordringer,Other short-term receivables,Andre kortsiktige fordringer,304,BALANSEREGNSKAP,2314000.0,,2314000.0,Brønnøysund,0,141025
NEL,NO0010081235,7795,979938799,2005,Sum gjeld,Total debt,Sum gjeld,354,BALANSEREGNSKAP,4343000.0,,4343000.0,Brønnøysund,0,141026
NEL,NO0010081235,7795,979938799,2005,Sum immaterielle anleggsmidler,Other intangible assets,Andre immatrielle eiendeler,323,BALANSEREGNSKAP,572000.0,,572000.0,Brønnøysund,0,141027
NEL,NO0010081235,7795,979938799,2005,Sum innskutt egenkapital,Share capital,Aksjekapital,366,BALANSEREGNSKAP,13615000.0,,13615000.0,Brønnøysund,0,141028
NEL,NO0010081235,7795,979938799,2005,Sum kortsiktig gjeld,Total short-term debt,Sum kortsiktig gjeld,347,BALANSEREGNSKAP,3223000.0,,3223000.0,Brønnøysund,0,141029
NEL,NO0010081235,7795,979938799,2005,Sum varelager,Inventory,Varer,754,BALANSEREGNSKAP,0.0,,0.0,Brønnøysund,0,161883
NEL,NO0010081235,7795,979938799,2005,Sum varige driftsmidler,Fixed assets,Varige driftsmidler,332,BALANSEREGNSKAP,1644000.0,,1644000.0,Brønnøysund,0,161884
NEL,NO0010081235,7795,979938799,2005,Årsresultat,Net income,Årsresultat,121,RESULTATREGNSKAP,-24293000.0,,-24293000.0,Brønnøysund,0,161885
NEL,NO0010081235,7795,979938799,2005,Sum langsiktig gjeld,Total long-term debt,Sum langsiktig gjeld,353,BALANSEREGNSKAP,1120000.0,,1120000.0,Brønnøysund,0,161880
NEL,NO0010081235,7795,979938799,2005,Lønnskostnader,"Salaries, wages, social security and other personnel related expenses","Lønn, honorarer, andre personalkostnader?.",78,RESULTATREGNSKAP,14745000.0,,14745000.0,Brønnøysund,0,161868
